uf,mes,acidentes,leitos_estim,atendimentos_estim,obitos
Rio de Janeiro,Fev/25,502,98,639,26
Rio de Janeiro,Mar/25,542,93,683,27
Rio de Janeiro,Abr/25,504,86,641,29
Rio de Janeiro,Mai/25,507,95,602,23
Rio de Janeiro,Jun/25,524,122,687,28
Rio de Janeiro,Jul/25,511,109,616,29
Rio de Janeiro,Ago/25,501,94,610,30
Rio de Janeiro,Set/25,561,93,682,40
Rio de Janeiro,Out/25,548,111,682,24
Rio de Janeiro,Nov/25,564,109,699,23
Rio de Janeiro,Dez/25,674,129,810,26
Rio de Janeiro,Jan/26,493,114,659,32
Rio de Janeiro,Fev/26,517,94,645,29
Rio de Janeiro,Mar/26,504,92,572,25
Rio de Janeiro,Abr/26,586,113,741,36
Rio de Janeiro,Mai/26,489,80,619,22
Rio de Janeiro,Jun/26,387,71,471,22
Rio Grande do Norte,Jan/25,123,46,160,7
Rio Grande do Norte,Fev/25,117,29,151,7
Rio Grande do Norte,Mar/25,113,21,121,8
Rio Grande do Norte,Abr/25,119,35,137,6
Rio Grande do Norte,Mai/25,145,42,179,13
Rio Grande do Norte,Jun/25,138,58,183,12
Rio Grande do Norte,Jul/25,139,32,152,6
Rio Grande do Norte,Ago/25,155,42,195,12
Rio Grande do Norte,Set/25,136,25,171,12
Rio Grande do Norte,Out/25,151,43,186,10
Rio Grande do Norte,Nov/25,138,39,174,7
Rio Grande do Norte,Dez/25,174,47,204,11
Rio Grande do Norte,Jan/26,112,30,151,11
Rio Grande do Norte,Fev/26,104,40,128,6
Rio Grande do Norte,Mar/26,120,34,142,12
Rio Grande do Norte,Abr/26,131,33,162,9
Rio Grande do Norte,Mai/26,104,25,113,5
Rio Grande do Norte,Jun/26,89,27,109,7
Rondônia,Jan/25,96,27,116,5
Rondônia,Fev/25,101,23,97,3
Rondônia,Mar/25,110,27,114,5
Rondônia,Abr/25,126,48,193,8
Rondônia,Mai/25,137,41,175,14
Rondônia,Jun/25,123,30,138,9
Rondônia,Jul/25,118,25,147,9
Rondônia,Ago/25,126,32,158,12
Rondônia,Set/25,141,36,178,10
Rondônia,Out/25,121,36,157,11
Rondônia,Nov/25,122,35,131,8
Rondônia,Dez/25,131,21,145,8
Rondônia,Jan/26,133,31,165,9
Rondônia,Fev/26,153,38,206,11
Rondônia,Mar/26,156,39,179,7
Rondônia,Abr/26,152,39,170,6
Rondônia,Mai/26,165,40,171,13
Rondônia,Jun/26,109,34,141,9
Roraima,Jan/25,10,9,34,1
Roraima,Fev/25,14,9,20,1
Roraima,Mar/25,11,3,13,1
Roraima,Abr/25,10,3,13,3
Roraima,Mai/25,12,4,16,3
Roraima,Jun/25,17,4,18,2
Roraima,Jul/25,13,8,18,3
Roraima,Ago/25,11,7,24,6
Roraima,Set/25,13,5,23,3
Roraima,Out/25,11,2,15,3
Roraima,Nov/25,15,7,24,1
Roraima,Dez/25,5,0,3,1
Roraima,Jan/26,10,6,22,3
Roraima,Fev/26,10,6,13,1
Roraima,Mar/26,10,1,17,2
Roraima,Abr/26,9,2,27,2
Roraima,Mai/26,7,1,7,0
Roraima,Jun/26,6,3,8,1
Rio Grande do Sul,Jan/25,402,109,541,24
Rio Grande do Sul,Fev/25,393,83,468,20
Rio Grande do Sul,Mar/25,417,96,492,30
Rio Grande do Sul,Abr/25,417,101,484,25
Rio Grande do Sul,Mai/25,422,97,502,16
Rio Grande do Sul,Jun/25,411,79,458,27
Rio Grande do Sul,Jul/25,412,85,509,30
Rio Grande do Sul,Ago/25,411,97,481,35
Rio Grande do Sul,Set/25,379,64,441,31
Rio Grande do Sul,Out/25,388,82,432,28
Rio Grande do Sul,Nov/25,382,86,442,20
Rio Grande do Sul,Dez/25,465,107,630,41
