uf,mes,acidentes
Paraíba,Mai/25,170
Paraíba,Jun/25,172
Paraíba,Jul/25,150
Paraíba,Ago/25,174
Paraíba,Set/25,153
Paraíba,Out/25,166
Paraíba,Nov/25,145
Paraíba,Dez/25,158
Paraíba,Jan/26,160
Paraíba,Fev/26,146
Paraíba,Mar/26,150
Paraíba,Abr/26,147
Paraíba,Mai/26,126
Paraíba,Jun/26,116
Pernambuco,Jan/25,220
Pernambuco,Fev/25,214
Pernambuco,Mar/25,251
Pernambuco,Abr/25,228
Pernambuco,Mai/25,248
Pernambuco,Jun/25,239
Pernambuco,Jul/25,252
Pernambuco,Ago/25,265
Pernambuco,Set/25,237
Pernambuco,Out/25,251
Pernambuco,Nov/25,285
Pernambuco,Dez/25,323
Pernambuco,Jan/26,278
Pernambuco,Fev/26,268
Pernambuco,Mar/26,271
Pernambuco,Abr/26,268
Pernambuco,Mai/26,242
Pernambuco,Jun/26,201
Piauí,Jan/25,118
Piauí,Fev/25,87
Piauí,Mar/25,108
Piauí,Abr/25,116
Piauí,Mai/25,106
Piauí,Jun/25,143
Piauí,Jul/25,165
Piauí,Ago/25,125
Piauí,Set/25,132
Piauí,Out/25,137
Piauí,Nov/25,117
Piauí,Dez/25,136
Piauí,Jan/26,115
Piauí,Fev/26,113
Piauí,Mar/26,116
Piauí,Abr/26,122
Piauí,Mai/26,96
Piauí,Jun/26,86
Paraná,Jan/25,608
Paraná,Fev/25,557
Paraná,Mar/25,616
Paraná,Abr/25,578
Paraná,Mai/25,670
Paraná,Jun/25,610
Paraná,Jul/25,650
Paraná,Ago/25,682
Paraná,Set/25,630
Paraná,Out/25,668
Paraná,Nov/25,671
Paraná,Dez/25,690
Paraná,Jan/26,606
Paraná,Fev/26,592
Paraná,Mar/26,662
Paraná,Abr/26,703
Paraná,Mai/26,608
Paraná,Jun/26,488
Rio de Janeiro,Jan/25,490
Rio de Janeiro,Fev/25,502
Rio de Janeiro,Mar/25,542
Rio de Janeiro,Abr/25,504
Rio de Janeiro,Mai/25,507
Rio de Janeiro,Jun/25,524
Rio de Janeiro,Jul/25,511
Rio de Janeiro,Ago/25,501
Rio de Janeiro,Set/25,561
Rio de Janeiro,Out/25,548
Rio de Janeiro,Nov/25,564
Rio de Janeiro,Dez/25,674
Rio de Janeiro,Jan/26,493
Rio de Janeiro,Fev/26,517
Rio de Janeiro,Mar/26,504
Rio de Janeiro,Abr/26,586
Rio de Janeiro,Mai/26,489
Rio de Janeiro,Jun/26,387
Rio Grande do Norte,Jan/25,123
Rio Grande do Norte,Fev/25,117
Rio Grande do Norte,Mar/25,113
Rio Grande do Norte,Abr/25,119
Rio Grande do Norte,Mai/25,145
Rio Grande do Norte,Jun/25,138
Rio Grande do Norte,Jul/25,139
Rio Grande do Norte,Ago/25,155
Rio Grande do Norte,Set/25,136
Rio Grande do Norte,Out/25,151
Rio Grande do Norte,Nov/25,138
Rio Grande do Norte,Dez/25,174
Rio Grande do Norte,Jan/26,112
Rio Grande do Norte,Fev/26,104
Rio Grande do Norte,Mar/26,120
Rio Grande do Norte,Abr/26,131
Rio Grande do Norte,Mai/26,104
Rio Grande do Norte,Jun/26,89
Rondônia,Jan/25,96
Rondônia,Fev/25,101
