uf,tipo,acidentes
Rondônia,Incêndio,31
Rondônia,Queda de ocupante de veículo,101
Rondônia,Saída de leito carroçável,284
Rondônia,Tombamento,171
Roraima,Atropelamento de Animal,11
Roraima,Atropelamento de Pedestre,11
Roraima,Capotamento,2
Roraima,Colisão com objeto,11
Roraima,Colisão frontal,22
Roraima,Colisão lateral mesmo sentido,8
Roraima,Colisão lateral sentido oposto,14
Roraima,Colisão transversal,18
Roraima,Colisão traseira,25
Roraima,Engavetamento,1
Roraima,Eventos atípicos,1
Roraima,Incêndio,9
Roraima,Queda de ocupante de veículo,8
Roraima,Saída de leito carroçável,38
Roraima,Tombamento,15
Rio Grande do Sul,Atropelamento de Animal,89
Rio Grande do Sul,Atropelamento de Pedestre,225
Rio Grande do Sul,Capotamento,99
Rio Grande do Sul,Colisão com objeto,578
Rio Grande do Sul,Colisão frontal,510
Rio Grande do Sul,Colisão lateral mesmo sentido,684
Rio Grande do Sul,Colisão lateral sentido oposto,228
Rio Grande do Sul,Colisão transversal,1262
Rio Grande do Sul,Colisão traseira,1152
Rio Grande do Sul,Derramamento de carga,11
Rio Grande do Sul,Engavetamento,91
Rio Grande do Sul,Eventos atípicos,16
Rio Grande do Sul,Incêndio,162
Rio Grande do Sul,Queda de ocupante de veículo,172
Rio Grande do Sul,Saída de leito carroçável,1301
Rio Grande do Sul,Sinistro pessoal de trânsito,1
Rio Grande do Sul,Tombamento,498
Santa Catarina,Atropelamento de Animal,53
Santa Catarina,Atropelamento de Pedestre,375
Santa Catarina,Capotamento,196
Santa Catarina,Colisão com objeto,980
Santa Catarina,Colisão frontal,776
Santa Catarina,Colisão lateral mesmo sentido,1768
Santa Catarina,Colisão lateral sentido oposto,328
Santa Catarina,Colisão transversal,1888
Santa Catarina,Colisão traseira,2473
Santa Catarina,Derramamento de carga,17
Santa Catarina,Engavetamento,193
Santa Catarina,Eventos atípicos,21
Santa Catarina,Incêndio,177
Santa Catarina,Queda de ocupante de veículo,404
Santa Catarina,Saída de leito carroçável,1406
Santa Catarina,Tombamento,1091
Sergipe,Atropelamento de Animal,20
